Timestamp (s),From,To
1.0010192102,Dr_Phil
13.5804939517,Dr_Phil,The_Early_Show
18.4187534676,The_Early_Show,Dr_Phil
31.9658801123,Dr_Phil,The_Early_Show
32.9335320155,The_Early_Show,Dr_Phil
40.674747241,Dr_Phil,The_Early_Show
42.6100510474,The_Early_Show,Dr_Phil
54.2218738857,Dr_Phil,The_Early_Show
57.1248295953,The_Early_Show,Dr_Phil
76.4778676591,Dr_Phil,The_Early_Show
85.1867347878,The_Early_Show,Dr_Phil
87.1220385942,Dr_Phil,The_Early_Show
88.0896904974,The_Early_Show,Dr_Phil
90.0249943038,Dr_Phil,Late_Late_Show_with_Craig_Ferguson
95.8309057229,Late_Late_Show_with_Craig_Ferguson,The_Early_Show
97.7662095293,The_Early_Show,Dr_Phil
100.669165239,Dr_Phil,The_Early_Show
108.410380464,The_Early_Show,CBS2_News_at_5
109.378032368,CBS2_News_at_5,Entertainment_Tonight
123.892810915,Entertainment_Tonight,CBS2_News_at_5
124.860462819,CBS2_News_at_5,CBS2_News_at_6
125.828114722,CBS2_News_at_6,CBS2_News_at_5
160.663583237,CBS2_News_at_5,The_Early_Show
180.984273204,The_Early_Show,CBS2_News_at_6
187.757836526,CBS2_News_at_6,Dr_Phil
188.725488429,Dr_Phil,The_Early_Show
191.628444139,The_Early_Show,CBS2_News_at_6
205.175570783,CBS2_News_at_6,The_Early_Show
229.366868363,The_Early_Show,10_Oclock_News
231.30217217,10_Oclock_News,The_Early_Show
236.140431686,The_Early_Show,CBS2_Live
242.913995008,CBS2_Live,The_Early_Show
251.622862137,The_Early_Show,CBS2_Live
253.558165943,CBS2_Live,Dr_Phil
286.458330652,Dr_Phil,The_Early_Show
287.425982555,The_Early_Show,CBS2_Live
288.393634458,CBS2_Live,The_Early_Show
289.361286361,The_Early_Show,Dr_Phil
313.552583941,Dr_Phil,The_Early_Show
316.45553965,The_Early_Show,Dr_Phil
321.293799166,Dr_Phil,Entertainment_Tonight
323.229102973,Entertainment_Tonight,The_Early_Show
324.196754876,The_Early_Show,CBS_Evening_News_with_Bob_Schieffer
341.614489133,CBS_Evening_News_with_Bob_Schieffer,CBS2_News_at_5
342.582141037,CBS2_News_at_5,CBS2_News_at_6
343.54979294,CBS2_News_at_6,The_Early_Show
345.485096746,The_Early_Show,CBS2_News_at_5
346.452748649,CBS2_News_at_5,CBS2_News_at_6
347.420400553,CBS2_News_at_6,CBS2_News_at_11
348.388052456,CBS2_News_at_11,CBS2_News_at_6
350.323356262,CBS2_News_at_6,CBS_Evening_News_with_Bob_Schieffer
351.291008165,CBS_Evening_News_with_Bob_Schieffer,CBS2_News_at_11
352.258660069,CBS2_News_at_11,CBS2_News_at_6
353.226311972,CBS2_News_at_6,CBS2_News_at_11
354.193963875,CBS2_News_at_11,The_Early_Show
355.161615778,The_Early_Show,CBS2_News_at_6
356.129267681,CBS2_News_at_6,The_Early_Show
357.096919584,The_Early_Show,CBS2_News_at_6
358.064571488,CBS2_News_at_6,The_Early_Show
359.032223391,The_Early_Show,CBS2_News_at_6
359.999875294,CBS2_News_at_6,The_Early_Show
524.500698837,The_Early_Show,CBS2_News_at_5
525.46835074,CBS2_News_at_5,CBS2_News_at_11
527.403654546,CBS2_News_at_11,CBS2_News_at_5
528.371306449,CBS2_News_at_5,CBS2_News_at_11
529.338958352,CBS2_News_at_11,CBS2_News_at_5
533.209565965,CBS2_News_at_5,CBS2_News_at_11
535.144869772,CBS2_News_at_11,CBS2_News_at_5
539.983129288,CBS2_News_at_5,Entertainment_Tonight
608.686414414,Entertainment_Tonight,CBS2_News_at_6
635.780667703,CBS2_News_at_6,CBS2_News_at_5
636.748319607,CBS2_News_at_5,CBS2_News_at_11
637.71597151,CBS2_News_at_11,Entertainment_Tonight
638.683623413,Entertainment_Tonight,10_Oclock_News
640.618927219,10_Oclock_News,CBS_Evening_News_with_Bob_Schieffer
642.554231026,CBS_Evening_News_with_Bob_Schieffer,Entertainment_Tonight
644.489534832,Entertainment_Tonight,CBS2_News_at_5
